Date ,Description,Type,Amount Spent ,Credit or Debit,,,MONTHLY BUDGET:,$300 ,(except Nov-Dec)
09-Apr,Example,Fast Food,3.66,Credit,,,AMOUNT REMAINING THIS MONTH,($289),
12-Apr,Example,Fast Food,6.55,Credit,,,AMOUNT SPENT THIS MONTH:,$589.44 ,
13-Apr,Example,Miscellaneous,16.22,Credit,,,,,
19-Apr,Example,Fast Food,6.27,Credit,,,Reset every 10th of the month ,,
20-Apr,Example,Fast Food,8.91,Credit,,,,,
22-Apr,Example,Shopping,23.57,Credit,,,,,
24-Apr,Example,Subscriptions,34.77,Credit,,,,,
24-Apr,Example,Fast Food,6.87,Credit,,,,,
25-Apr,Example,Miscellaneous,50.01,Credit,,,Sub Totals:,,
27-Apr,Example,Subscriptions,5.64,Credit,,,Fast Food,35.19,
27-Apr,Example,Motives,15.81,Credit,,,Restaurant ,55.34,
28-Apr,Example,Miscellaneous,19.24,Credit,,,Shopping ,105.66,
29-Apr,Example,Shopping,82.09,Credit,,,Subscriptions ,40.41,
29-Apr,Example,Birthdays,8.48,Credit,,,Miscellaneous ,85.47,
30-Apr,Example,Restaurant,55.34,Credit,,,School ,0,
04-May,Example,Motives,11.24,Credit,,,Travel ,0,
04-May,Example,Fast Food,2.93,Credit,,,Motives,191.11,
05-May,Example,Motives,56.5,Credit,,,Birthdays ,76.26,
06-May,Example,Motives,17.16,Credit,,,,,
07-May,Example,Birthdays,67.78,Credit,,,,,
10-May,Example,Motives,90.4,Debit,,,,,
