Date ,Description,Type,Amount Spent ,Credit or Debit,,,MONTHLY BUDGET:,$500 ,(except Nov-Dec)
10-Dec,Example,Fast Food,2.4,Credit,,,,,
11-Dec,Example,Fast Food,2.82,Credit,,,,,
14-Dec,Example,Fast Food,14.11,Credit,,,AMOUNT REMAINING THIS MONTH,($148),
19-Dec,Example,Fast Food,8.93,Credit,,,AMOUNT SPENT THIS MONTH:,$647.77 ,
21-Dec,Example,Miscellaneous,31.08,Credit,,,,,
22-Dec,Example,Restaurant,27.95,Credit,,,Reset every 10th of the month ,,
22-Dec,Example,Shopping,22.66,Credit,,,,,
23-Dec,Example,Shopping,24.59,Credit,,,,,
23-Dec,Example,Shopping,11.3,Credit,,,,,
23-Dec,Example,Shopping,54.24,Credit,,,,,
23-Dec,Example,Shopping,42.94,Credit,,,Sub Totals:,,
23-Dec,Example,Shopping,14.24,Credit,,,Fast Food,40.76,
23-Dec,Example,Fast Food,0.74,Credit,,,Restaurant ,34.55,
24-Dec,Example,Subscriptions,39.54,Credit,,,Shopping ,385.76,
24-Dec,Example,Restaurant,6.6,Credit,,,Subscriptions ,45.18,
27-Dec,Example,Shopping,104.62,Credit,,,Miscellaneous ,93.22,
27-Dec,Example,Shopping,111.17,Credit,,,School ,0,
27-Dec,Example,Fast Food,6.16,Credit,,,Travel ,0,
27-Dec,Example,Subscriptions,5.64,Credit,,,Motives,48.3,
27-Dec,Example,Miscellaneous,22.6,Credit,,,Birthdays ,0,
29-Dec,Example,Motives,22.75,Credit,,,,,
29-Dec,Example,Motives,21.62,Credit,,,,,
29-Dec,Example,Fast Food,5.6,Credit,,,,,
04-Jan,Example,Miscellaneous,39.54,Credit,,,,,
06-Jan,Example,Motives,3.93,Credit,,,,,
