Date ,Description,Type,Amount Spent ,Credit or Debit,,,MONTHLY BUDGET:,$300 ,(except Nov-Dec)
08-Feb,Example,Fast Food,10.16,Credit,,,AMOUNT REMAINING THIS MONTH,($272),
08-Feb,Example,Fast Food,2.42,Credit,,,AMOUNT SPENT THIS MONTH:,$572.13 ,
08-Feb,Example,School,18,Credit,,,,,
09-Feb,Example,Fast Food,4.52,Credit,,,Reset every 10th of the month ,,
10-Feb,Example,Fast Food,2.09,Credit,,,,,
11-Feb,Example,Fast Food,14.52,Credit,,,,,
12-Feb,Example,Motives,91,Credit,,,,,
15-Feb,Example,Fast Food,2.42,Credit,,,,,
17-Feb,Example,Miscellaneous,29.4,Credit,,,Sub Totals:,,
18-Feb,Example,Restaurant,33.81,Credit,,,Fast Food,54.83,
20-Feb,Example,Fast Food,6.21,Credit,,,Restaurant ,33.81,
20-Feb,Example,Shopping,16.95,Credit,,,Shopping ,41.58,
20-Feb,Example,Shopping,24.63,Credit,,,Subscriptions ,16.94,
21-Feb,Example,Birthdays,135.55,Credit,,,Miscellaneous ,29.4,
21-Feb,Example,Birthdays,15.82,Credit,,,School ,18,
22-Feb,Example,Motives,115.2,Credit,,,Travel ,0,
22-Feb,Example,Fast Food,5.82,Credit,,,Motives,226.2,
22-Feb,Example,Motives,20,Credit,,,Birthdays ,151.37,
24-Feb,Example,Subscriptions,11.3,Credit,,,,,
26-Feb,Example,Fast Food,6.67,Credit,,,,,
27-Feb,Example,Subscriptions,5.64,Credit,,,,,
