Date ,Description,Type,Amount Spent ,Credit or Debit,,,MONTHLY BUDGET:,$300 ,(except Nov-Dec)
08-Mar,Example,Motives,22.23,Credit,,,AMOUNT REMAINING THIS MONTH,$45 ,
08-Mar,Example,Fast Food,6.19,Credit,,,AMOUNT SPENT THIS MONTH:,$254.76 ,
09-Mar,Example,Fast Food,2.61,Credit,,,,,
12-Mar,Example,Fast Food,2.09,Credit,,,Reset every 10th of the month ,,
13-Mar,Example,Birthdays,40,Credit,,,,,
14-Mar,Example,Fast Food,16.49,Credit,,,,,
16-Mar,Example,Restaurant,67.03,Credit,,,,,
16-Mar,Example,Fast Food,3.01,Credit,,,,,
18-Mar,Example,Shopping,17.48,Credit,,,Sub Totals:,,
21-Mar,Example,Motives,15.71,Credit,,,Fast Food,53.63,
23-Mar,Example,Fast Food,3.66,Credit,,,Restaurant ,67.03,
24-Mar,Example,Subscriptions,11.3,Credit,,,Shopping ,17.48,
27-Mar,Example,Subscriptions,5.64,Credit,,,Subscriptions ,16.94,
28-Mar,Example,Fast Food,10.94,Credit,,,Miscellaneous ,21.74,
30-Mar,Example,Fast Food,8.64,Credit,,,School ,0,
31-Mar,Example,Miscellaneous,21.74,Credit,,,Travel ,0,
,,,,,,,Motives,37.94,
,,,,,,,Birthdays ,40,
