Date ,Description,Type,Amount Spent ,Credit or Debit,,,MONTHLY BUDGET:,$500 ,(except Nov-Dec)
12-Nov,Example,Motives,24.58,Credit,,,AMOUNT REMAINING THIS MONTH,($348),
13-Nov,Example,Fast Food,6.16,Credit,,,AMOUNT SPENT THIS MONTH:,$847.93 ,
13-Nov,Example,Restaurant,22.09,Credit,,,,,
14-Nov,Example,Shopping,33.9,Credit,,,Reset every 10th of the month ,,
14-Nov,Example,Fast Food,12.42,Credit,,,,,
16-Nov,Example,Fast Food,16.69,Credit,,,,,
17-Nov,Example,Fast Food,6.16,Credit,,,,,
19-Nov,Example,Birthdays,43.51,Credit,,,,,
19-Nov,Example,Restaurant,10.71,Credit,,,,,
20-Nov,Example,Fast Food,5.25,Credit,,,Sub Totals:,,
24-Nov,Example,Fast Food,5.3,Credit,,,Fast Food,70.74,
24-Nov,Example,Subscriptions,39.54,Credit,,,Restaurant ,32.8,
26-Nov,Example,Miscellaneous,83.17,Credit,,,Shopping ,196.43,
26-Nov,Example,Birthdays,40,Debit,,,Subscriptions ,45.18,
27-Nov,Example,Subscriptions,5.64,Credit,,,Miscellaneous ,102.36,
28-Nov,Example,Birthdays,236.93,Credit,,,School ,0,
28-Nov,Example,Birthdays,30,Credit,,,Travel ,0,
29-Nov,Example,Birthdays,25.4,Debit,,,Motives,24.58,
01-Dec,Example,Shopping,16.94,Credit,,,Birthdays ,375.84,
02-Dec,Example,Miscellaneous,19.19,Credit,,,,,
02-Dec,Example,Fast Food,6.89,Credit,,,,,
02-Dec,Example,Fast Food,11.87,Credit,,,,,
04-Dec,Example,Shopping,51.57,Credit,,,,,
04-Dec,Example,Shopping,94.02,Credit,,,,,
