Date ,Description,Type,Amount Spent ,Credit or Debit,,,MONTHLY BUDGET:,$500 ,(except Nov-Dec)
11-Oct,Example,Motives,31,Debit,,,AMOUNT REMAINING THIS MONTH,($267),
15-Oct,Example,Fast Food,3.66,Credit,,,AMOUNT SPENT THIS MONTH:,$766.52 ,
15-Oct,Example,Shopping,203.38,Credit,,,,,
16-Oct,Example,Motives,3.95,Credit,,,Reset every 10th of the month ,,
16-Oct,Example,Restaurant,26.67,Credit,,,,,
16-Oct,Example,Fast Food,6.33,Credit,,,,,
18-Oct,Example,Fast Food,15.81,Credit,,,,,
19-Oct,Example,Birthdays,38.76,Credit,,,,,
20-Oct,Example,Fast Food,10.84,Credit,,,Sub Totals:,,
22-Oct,Example,Fast Food,6.04,Credit,,,Fast Food,124.14,
23-Oct,Example,Fast Food,5.37,Credit,,,Restaurant ,26.67,
24-Oct,Example,Subscriptions,39.54,Credit,,,Shopping ,215.36,
26-Oct,Example,Shopping,11.98,Credit,,,Subscriptions ,45.18,
26-Oct,Example,Fast Food,7.46,Credit,,,Miscellaneous ,0,
27-Oct,Example,Subscriptions,5.64,Credit,,,School ,0,
28-Oct,Example,Fast Food,10.1,Credit,,,Travel ,0,
29-Oct,Example,Fast Food,30.82,Credit,,,Motives,95.95,
29-Oct,Example,Motives,30,Debit,,,Birthdays ,259.22,
30-Oct,Example,Motives,31,Debit,,,,,
04-Nov,Example,Fast Food,6.16,Credit,,,,,
05-Nov,Example,Fast Food,6.77,Credit,,,,,
06-Nov,Example,Birthdays,73.5,Credit,,,,,
08-Nov,Example,Fast Food,5.42,Credit,,,,,
08-Nov,Example,Birthdays,90.4,Credit,,,,,
08-Nov,Example,Birthdays,56.56,Credit,,,,,
10-Nov,Example,Fast Food,9.36,Credit,,,,,
