Date ,Description,Type,Amount_Spent,credit_debit
2023-11-01,CVS,House,5.69,Credit
2023-11-03,penelopes coffee,Takeout,4.95,Credit
2023-11-06,safeway,Grocery,3.54,Credit
2023-11-06,paddleboard yoga,Motives,17.46,Credit
2023-11-06,shef,Grocery,25.82,Credit
2023-11-06,chipotle,Takeout,11.57,Credit
2023-11-08,whole foods ,Grocery,12.18,Credit
2023-11-10,penelopes coffee,Takeout,5.2,Credit
2023-11-10,clipper,School,20,Credit
2023-11-13,shef,Grocery,24.34,Credit
2023-11-13,jai ho ,Grocery,23.85,Credit
2023-11-14,safeway,Grocery,50.06,Credit
2023-11-17,tarragon cafe,Takeout,6.25,Credit
2023-11-17,hollister,Clothes Shopping,108.36,Credit
2023-11-17,nick the greek,Takeout,13.58,Credit
2023-11-18,amazon,House,24.93,Credit
2023-11-18,luckys,Grocery,33,Credit
2023-11-12,diwali lunch,Motives,29.11,Debit
2023-11-20,clipper,School,20,Credit
2023-11-20,shef ,Grocery,30.79,Credit
2023-11-22,amazon,House,16.28,Credit
2023-11-22,key food ,Grocery,3.59,Credit
2023-11-23,cvs ,House,9.79,Credit
2023-11-23,luckys ,Motives,8.24,Credit
2023-11-24,aritzia ,Clothes Shopping,66.73,Credit
2023-11-24,sephora,Other Shopping,76.69,Credit
2023-11-25,club ,Motives,58,Credit
2023-11-26,safeway + jai ho,Grocery,113.25,Credit
2023-11-27,spotify,Subscriptions,5.99,Credit
2023-11-30,woodlands market lunch,Takeout,4.5,Credit
2023-11-30,amazon,Miscellaneous,28.23,Credit
2023-12-01,penelopes,Takeout,4.45,Credit
2023-12-04,doordash,Takeout,16.81,Credit
2023-12-04,clipper,School,20,Credit
2023-12-04,trader joes ,Grocery,22.72,Credit
2023-12-04,woodloands market,Takeout,13.49,Credit
2023-12-05,cafe reveille,Takeout,6.13,Credit
2023-12-05,fake whole foods,Grocery,27.69,Credit
2023-12-06,shef,Grocery,25.19,Credit
2023-12-08,cvs,Miscellaneous,53.15,Credit
2023-12-11,safeway,Grocery,86.46,Credit
2023-12-11,tarragon,Takeout,6.87,Credit
2023-12-12,shef,Grocery,27.79,Credit
2023-12-13,latte usf,Takeout,6.25,Credit
2023-12-13,amazon,Miscellaneous,25.94,Credit
2023-12-15,laundry,Miscellaneous,25,Credit
2023-12-15,boba,Takeout,6,Credit
2023-12-15,clipper,School,10,Credit
2023-12-16,philz ,Takeout,4.61,Credit
2023-12-16,sf sweaters ,Travel,92.64,Credit
2023-12-17,brunch,Motives,25.83,Credit
2023-12-17,daiso,Miscellaneous,6.77,Credit
2023-12-17,marufuku,Motives,21.69,Credit
2023-12-18,trader joes ,Grocery,30.69,Credit
2023-12-18,safeway,Grocery,16.13,Credit
2023-12-18,mcds ,Takeout,12.38,Credit
2023-12-18,tarragon,Takeout,29.33,Credit
2023-12-19,target,Miscellaneous,21.41,Credit
2023-12-19,crepes,Motives,25.83,Credit
2023-12-20,tpumps,Takeout,2.5,Credit
2023-12-20,tarragon,Motives,29.33,Credit
2023-12-20,trader joes ,Grocery,5.48,Credit
2023-07-04,Mcds w baba,Takeout,12.25,Debit
2023-07-10,et bhumika first 2 weeks,Motives,60.14,Debit
2023-07-04,target ,Miscellaneous,77.19,Credit
2023-07-04,key food market,Grocery,8.83,Credit
2023-07-07,joe the juice ,Takeout,15.84,Credit
2023-07-10,jai ho grocery,Grocery,54.11,Credit
2023-07-10,safeway,Grocery,94.32,Credit
2023-07-10,burgers + dinner,Takeout,28.8,Credit
2023-07-11,target ,Miscellaneous,142.94,Credit
2023-07-11,coffee,Takeout,6.5,Credit
